m,TagName,
"2010-12-01 00:00:00","javascript","4942"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5322"
"2010-12-01 00:00:00","python","2468"
"2010-12-01 00:00:00","r","222"
"2010-12-01 00:00:00","ruby","1019"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1457"
"2011-01-01 00:00:00","c#","7968"
"2011-01-01 00:00:00","c++","3479"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6520"
"2011-01-01 00:00:00","javascript","5407"
"2011-01-01 00:00:00","perl","473"
"2011-01-01 00:00:00","php","6356"
"2011-01-01 00:00:00","python","2894"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1630"
"2011-02-01 00:00:00","c#","8195"
"2011-02-01 00:00:00","c++","3432"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6845"
"2011-02-01 00:00:00","javascript","5585"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6650"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2106"
"2011-03-01 00:00:00","c#","9960"
"2011-03-01 00:00:00","c++","4163"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8441"
"2011-03-01 00:00:00","javascript","6737"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8024"
"2011-03-01 00:00:00","python","3738"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1635"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","160"
"2011-04-01 00:00:00","c","2031"
"2011-04-01 00:00:00","c#","9245"
"2011-04-01 00:00:00","c++","4155"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6862"
"2011-04-01 00:00:00","perl","549"
"2011-04-01 00:00:00","php","7547"
"2011-04-01 00:00:00","python","3319"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1474"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","9958"
"2011-05-01 00:00:00","c++","3860"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8514"
"2011-05-01 00:00:00","javascript","7282"
"2011-05-01 00:00:00","perl","580"
"2011-05-01 00:00:00","php","8025"
"2011-05-01 00:00:00","python","3508"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1758"
"2011-06-01 00:00:00","c#","9705"
"2011-06-01 00:00:00","c++","3791"
"2011-06-01 00:00:00","delphi","450"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7855"
"2011-06-01 00:00:00","javascript","7648"
"2011-06-01 00:00:00","perl","566"
"2011-06-01 00:00:00","php","7975"
"2011-06-01 00:00:00","python","3453"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1552"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1654"
"2011-07-01 00:00:00","c#","9549"
"2011-07-01 00:00:00","c++","3835"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8116"
"2011-07-01 00:00:00","javascript","8069"
"2011-07-01 00:00:00","perl","657"
"2011-07-01 00:00:00","php","8575"
"2011-07-01 00:00:00","python","3644"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1576"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1826"
"2011-08-01 00:00:00","c#","9994"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8618"
"2011-08-01 00:00:00","javascript","8857"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8819"
"2011-08-01 00:00:00","python","3809"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1846"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1912"
"2011-09-01 00:00:00","c#","9227"
"2011-09-01 00:00:00","c++","3923"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8273"
"2011-09-01 00:00:00","javascript","8123"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7956"
"2011-09-01 00:00:00","python","3501"
"2011-09-01 00:00:00","r","611"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2136"
"2011-10-01 00:00:00","c#","9141"
"2011-10-01 00:00:00","c++","4326"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8485"
"2011-10-01 00:00:00","javascript","7966"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","7948"
"2011-10-01 00:00:00","python","3595"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1598"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9830"
"2011-11-01 00:00:00","c++","4443"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9558"
"2011-11-01 00:00:00","javascript","8582"
"2011-11-01 00:00:00","perl","601"
"2011-11-01 00:00:00","php","8570"
"2011-11-01 00:00:00","python","3848"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1729"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c","1995"
"2011-12-01 00:00:00","c#","9234"
"2011-12-01 00:00:00","c++","4322"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9102"
"2011-12-01 00:00:00","javascript","8252"
"2011-12-01 00:00:00","perl","536"
"2011-12-01 00:00:00","php","8249"
"2011-12-01 00:00:00","python","3596"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2211"
"2012-01-01 00:00:00","c#","10298"
"2012-01-01 00:00:00","c++","4507"
"2012-01-01 00:00:00","delphi","507"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10044"
"2012-01-01 00:00:00","javascript","9514"
"2012-01-01 00:00:00","perl","560"
"2012-01-01 00:00:00","php","9139"
"2012-01-01 00:00:00","python","4166"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2388"
"2012-02-01 00:00:00","c#","10650"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10843"
"2012-02-01 00:00:00","javascript","9871"
"2012-02-01 00:00:00","perl","610"
"2012-02-01 00:00:00","php","9769"
"2012-02-01 00:00:00","python","4467"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2028"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2699"
"2012-03-01 00:00:00","c#","11451"
"2012-03-01 00:00:00","c++","5180"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12240"
"2012-03-01 00:00:00","javascript","10594"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10709"
"2012-03-01 00:00:00","python","4989"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2656"
"2012-04-01 00:00:00","c#","10961"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","479"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11885"
"2012-04-01 00:00:00","javascript","10548"
"2012-04-01 00:00:00","perl","596"
"2012-04-01 00:00:00","php","10209"
"2012-04-01 00:00:00","python","4874"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1946"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2456"
"2012-05-01 00:00:00","c#","11392"
"2012-05-01 00:00:00","c++","4934"
"2012-05-01 00:00:00","delphi","473"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12025"
"2012-05-01 00:00:00","javascript","11375"
"2012-05-01 00:00:00","perl","639"
"2012-05-01 00:00:00","php","10765"
"2012-05-01 00:00:00","python","5041"
"2012-05-01 00:00:00","r","868"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2292"
"2012-06-01 00:00:00","c#","11210"
"2012-06-01 00:00:00","c++","4604"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10980"
"2012-06-01 00:00:00","javascript","11122"
"2012-06-01 00:00:00","perl","735"
"2012-06-01 00:00:00","php","10387"
"2012-06-01 00:00:00","python","5222"
"2012-06-01 00:00:00","r","964"
"2012-06-01 00:00:00","ruby","1877"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","199"
"2012-07-01 00:00:00","c","2353"
"2012-07-01 00:00:00","c#","12206"
"2012-07-01 00:00:00","c++","5235"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12147"
"2012-07-01 00:00:00","javascript","12225"
"2012-07-01 00:00:00","perl","661"
"2012-07-01 00:00:00","php","11566"
"2012-07-01 00:00:00","python","5698"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2053"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2309"
"2012-08-01 00:00:00","c#","11878"
"2012-08-01 00:00:00","c++","5129"
"2012-08-01 00:00:00","delphi","402"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12178"
"2012-08-01 00:00:00","javascript","12351"
"2012-08-01 00:00:00","perl","759"
"2012-08-01 00:00:00","php","11740"
"2012-08-01 00:00:00","python","5839"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2050"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","220"
"2012-09-01 00:00:00","c","2514"
"2012-09-01 00:00:00","c#","11205"
"2012-09-01 00:00:00","c++","4871"
"2012-09-01 00:00:00","delphi","382"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11533"
"2012-09-01 00:00:00","javascript","11104"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10850"
"2012-09-01 00:00:00","python","5224"
"2012-09-01 00:00:00","r","1056"
"2012-09-01 00:00:00","ruby","1949"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","313"
"2012-10-01 00:00:00","c","3143"
"2012-10-01 00:00:00","c#","12635"
"2012-10-01 00:00:00","c++","5879"
"2012-10-01 00:00:00","delphi","475"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13393"
"2012-10-01 00:00:00","javascript","12331"
"2012-10-01 00:00:00","perl","681"
"2012-10-01 00:00:00","php","11640"
"2012-10-01 00:00:00","python","6107"
"2012-10-01 00:00:00","r","1263"
